,A,B,C,D
0,0,0,0,0
1,-1,-1,1,1
2,-2,-2,2,2
3,-3,-1,1,3
4,-2,-2,0,2
5,-1,-3,-1,1
6,-2,-4,-2,0
7,-1,-5,-1,-1
8,0,-6,-2,0
9,1,-5,-1,-1
10,0,-6,-2,-2
11,-1,-5,-3,-3
12,-2,-4,-4,-4
13,-1,-3,-3,-5
14,0,-2,-2,-6
15,1,-1,-3,-5
16,0,0,-2,-4
17,-1,-1,-3,-3
18,0,0,-2,-2
19,1,-1,-1,-1
20,0,0,-2,-2
21,-1,1,-3,-1
22,-2,0,-4,-2
23,-1,1,-5,-1
24,-2,0,-6,-2
25,-1,-1,-5,-1
26,0,0,-6,-2
27,1,-1,-7,-1
28,0,-2,-8,-2
29,1,-3,-9,-1
30,2,-4,-8,-2
31,3,-5,-9,-3
32,4,-4,-10,-4
33,5,-3,-11,-5
34,6,-2,-12,-6
35,7,-1,-13,-5
36,6,0,-12,-6
37,5,1,-11,-5
38,4,2,-12,-4
39,3,1,-11,-3
40,2,0,-10,-2
41,1,-1,-11,-1
42,2,-2,-12,0
43,3,-3,-11,1
44,4,-4,-12,2
45,3,-5,-13,1
46,4,-6,-12,0
47,3,-7,-13,1
48,4,-6,-14,0
49,3,-5,-15,-1
50,2,-6,-16,-2
51,1,-5,-17,-3
52,2,-4,-18,-4
53,3,-5,-19,-5
54,2,-4,-18,-6
55,1,-5,-19,-7
56,2,-4,-20,-8
57,3,-3,-19,-9
58,4,-4,-18,-10
59,5,-3,-19,-9
60,4,-4,-18,-8
61,5,-3,-19,-7
62,6,-2,-18,-8
63,5,-1,-19,-9
64,4,0,-18,-8
65,5,-1,-19,-7
66,6,0,-20,-8
67,7,-1,-19,-9
68,8,0,-18,-8
69,9,1,-17,-9
70,8,2,-16,-8
71,9,1,-17,-9
72,8,2,-16,-8
73,7,3,-15,-7
74,6,2,-14,-6
75,7,1,-15,-7
76,6,0,-16,-6
77,7,-1,-15,-7
78,8,0,-14,-6
79,7,-1,-13,-7
80,6,-2,-12,-8
81,5,-3,-13,-9
82,4,-4,-14,-10
83,5,-3,-15,-11
84,4,-2,-16,-10
85,5,-3,-17,-9
86,6,-2,-18,-8
87,7,-1,-17,-9
88,8,0,-16,-10
89,7,1,-17,-9
90,8,0,-16,-8
91,9,1,-15,-9
92,8,0,-16,-10
93,7,-1,-17,-9
94,6,-2,-18,-8
95,5,-3,-19,-9
96,4,-2,-20,-10
97,5,-1,-19,-9
98,4,0,-20,-10
99,3,-1,-21,-9
100,2,-2,-20,-10
101,3,-1,-21,-11
